Con,Contp,PP,PPName,Reg,AgtId,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeSo,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,EqGen,HrDem,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
"Saudi Arabia/Yemen",Territory,103,"Saudi Arabia - Yemen Border process","Middle East and North Africa",408,"International Border Treaty between the Republic of Yemen and the Kingdom of Saudi Arabia",2000-06-12,"Multiparty signed/agreed",21,11599,Inter,Imp,ExtSub,"Government of the Kingdom of Saudi Arabia: Saud Al-Faisal, Minister for Foreign Affairs. Government of the Republic of Yemen: Abdul-Qader Abdul, Deputy Prime Minister and Rahman Ba-Jammal, Minister for Foreign Affairs. 

 
",,"Page 1, Untitled Preamble 
...
with respect to both the boundaries determined by the Treaty of Taif signed by the two kingdoms in A.H. 1353, corresponding to A.D. 1934... 

Page 1, Article 1
The two contracting parties affirm that the Treaty of Taif and its annexes, including the boundary reports appended thereto, are binding and valid. They also affirm their commitment to the Memorandum of Understanding signed by the two countries on 27 Ramadan A.H. 1415 [26 February A.D. 1995].

Page 1, Article 2
The identity of the villages located along the path of the line in this section, including their tribal affiliation, shall be determined in accordance with the provisions of the Treaty of Taif and its annexes.

Page 2, Article 3
...
The company concerned and the joint team of the two contracting parties shall adhere strictly to the distances and bearings from one point to the next and to the other specifications set forth in the boundary reports annexed to the Treaty of Taif, these provisions being binding on both parties.

Page 2, Article 4
The two contracting parties undertake to abide by the terms of article 5 of the Treaty of Taif as they relate to the removal of any military position located less than five kilometres from the boundary line delimited on the basis of the boundary reports annexed to the same Treaty of Taif.",YEM,SAU,678,670,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Saudi Arabia/Yemen",Territory,103,"Saudi Arabia - Yemen Border process","Middle East and North Africa",535,"Saudi-Yemeni Memorandum of Understanding",1995-02-26,"Multiparty signed/agreed",3,3880,Inter,Imp,ExtSub,"Government of the Kingdom of Saudi Arabia: Special Advisor to the Custodian of the Two Holy Mosques, Ibrahim Bin Abdullah Al Angeri. Government of the Republic of Yemen:
Deputy Prime Minister and Minister of Planning and Development, Abdulqader Abdurrahman Bajammal
",,"Page 1, Article 1
The Two Parties confirm their commitment to the legality and binding Treaty of Taif signed on the 6th of Safar 1353H, corresponding to the 20th of May 1934, and its annexes, which is known as the ""Treaty of Taif""...

Page 2, Article 10
This Memorandum contains no amendment to the ""Treaty of Taif"" and its annexes, including the border reports.",YEM,SAU,678,670,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yemen,Government/territory,138,"Yemen peace process","Middle East and North Africa",2123,"Agreement for the exchange prisoners, detainees, missing persons, arbitrarily detained and forcibly disappeared persons, and those under house arrest

",2018-12-17,"Multiparty signed/agreed",3,6191,Intra,Pre,Conf,"First Party Represented by 
Sheikh. Hadi Ahmed Heij
President of Prisoners and Detainees
Foundation and Representative Prisoners Affairs & Missing Persons
of the Arab Coalition

Second Party Represented by 
Mr. Abdelqader Hassan Al-Mortada
Chairman of the National Committee


",,,YEM,,678,,230,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1
Yemen,Government/territory,138,"Yemen peace process","Middle East and North Africa",2120,"Agreement on the City of Hodeidah and Ports of Hodeidah, Salif, and Ras Isa (Hodeidah Agreement)

",2018-12-13,"Multiparty signed/agreed",1,3339,Intra,Cea,Ceas,"Yemeni government and the Houthi movement",,,YEM,,678,,230,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Yemen,Government/territory,138,"Yemen peace process","Middle East and North Africa",2121,"Stockholm Agreement",2018-12-13,"Multiparty signed/agreed",1,1305,Intra,Pre,PreMix,"Yemeni government and Houthi movement",,,YEM,,678,,230,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
Yemen,Government/territory,138,"Yemen peace process","Middle East and North Africa",2122,"Statement of Understanding on Ta'iz",2018-12-13,"Multiparty signed/agreed",1,720,Intra,Pre,Proc,"Yemeni government and Houthi movement",,,YEM,,678,,230,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Yemen,Inter-group,45,"Yemen Inter-group Agreements","Middle East and North Africa",2176,"Minutes of Agreement - Ta'iz",2018-04-27,"Multiparty signed/agreed",1,2100,IntraLocal,Oth,,"committee tasked by the Governor:
Muhammad Najib: Signature: [signed]
Ridhwan al-Hashidi: Signature: [signed]
‘Abduh Qassim al-Jar’i: Signature: [signed] 
Colonel Abd al-‘Aziz al-Majidi: Signature: [signed]",,,YEM,,678,,230,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,1,1
Yemen,Government,45,"Yemen Inter-group Agreements","Middle East and North Africa",2119,"Agreement regarding the Exchange of Prisoners, Detainees, Remains and Missing Persons",2018-01-18,"Multiparty signed/agreed",2,4154,IntraLocal,Cea,CeaMix,"First Party Represented by 

Sheikh. Hadi Ahmed Heij 
President of Prisoners and Detainees 
Foundation and Representative of the Arab Coalition 

Second Party Represented by
Mr. Abdelqader Hassan Al-Mortada
Chairman of the National Committee
e Prisoners Affairs & Missing Persons
",,,YEM,,678,,230,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1
Yemen,Government,138,"Yemen peace process","Middle East and North Africa",2014,Statement,2016-11-16,"Multiparty signed/agreed",1,841,Intra,Pre,Proc,"Muhammad ‘Abd al-Salam [Spokesman for Ansar Allah] 
[Signed] 
‘Arif al-Zuka [General Secretary of General People’s Congress] 
[Signed] ",,,YEM,,678,,230,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yemen,Inter-group,138,"Yemen peace process","Middle East and North Africa",2089,"al-Baydah Ceasefire",2016-04-20,"Multiparty signed/agreed",2,2209,IntraLocal,Cea,Ceas,"17 Signatories:
",,"Based on the agreement signed between the two sides in the South Dhahran, in 10/04/2016",YEM,,678,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
Yemen,Government/territory,138,"Yemen peace process","Middle East and North Africa",2009,"Dhalea Ceasefire",2016-04-20,"Multiparty signed/agreed",2,2809,IntraLocal,Cea,Ceas,"Representatives of Government of President Abd Rabbu Mansour Hadi:
Ahmad ‘Abadi al-Mu’akar 
Mohammad Ghalib al- Dhahiri 
Lieutenant Colonel ‘Ail ‘Abdu al- Ghriani 
Tahir ‘Abad al-Assad 
Feysal Satah Shooqran 
Ahmad Naji al-Sarari 
Mohammad Mahmood Safian 
Mohammad ‘Abad al- Shajri 

Representatives of Ansar Allah and the General People's Congress:
Abdu Salah al-Salami 
‘Abdu Salah al-Mashraqi 
Murad Ghalib Mazahim 
Na’ran ‘Abdu al-Jalil al-Siadi 
Mohammad Salah al- Niham 
‘Ali Ahmad al- Siadi 
Mohammad Hussein al- Na’iri 
Sa’id ‘Ali al- ‘Ansoob 

","Kingdom of Saudi Arabia","Page 1, Based on the agreement signed in South Dhahran in the Kingdom of Saudi Arabia on 10/4/2016 between us as the two sides,",YEM,,678,,230,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1
Yemen,Government/territory,138,"Yemen peace process","Middle East and North Africa",2010,"Implementation Mechanism of the Ceasefire Agreement in the Governorate of Marib ",2016-04-17,"Multiparty signed/agreed",2,3540,IntraLocal,Cea,Ceas,"Representatives of Government of President Abd Rabbu Mansour Hadi:
‘Abd Āllah ‘Alī al- Jimālī 
Ra’id ‘Abd Āllah al- Thābatī 
Nājī ‘Alī Manīf 
Āhmad ‘Alī Rabī’ 
‘Abd al-Hakīm Rāshid al-Zūmhī 
Muhammad Qāsim ‘Alwa 
‘Abd Āllah Muhammad Kawīr 
‘Abduh Hamid Shamalān 
Mahmūd Sālih Haliyān 
‘Abd al-Rahman ‘Alī ‘Āmur 

Representatives of Ansar Allah and General People's Congress
Muhammad bin ‘Alī Ta’ymān 
Sālim Hādī Raqīb 
Sa’īd ‘Alī Salāmah 
Sālih Sawda Ta’ymān 
Sālih Yahya al-Suqāf 
Khalid Sālih al-Āmīr 
‘Abd Āllah Sālih al- Sharīf 
Fāyaz Muhsin al- Suqāf 

","Kingdom of Saudi Arabia","Based on the agreement signed in Dhahran al-Janub in the Kingdom of Saudi Arabia on 10 April 2016 between us as the two sides. 
",YEM,,678,,230,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1
Yemen,Government/territory,138,"Yemen peace process","Middle East and North Africa",1826,"Ta'iz Ceasefire Agreement",2016-04-16,"Multiparty signed/agreed",2,3347,IntraLocal,Cea,Ceas,"Islah MP/NDC Member, Abdulkareem Shaiban
Southern Group NDC Member, Ali Mohammed Ahmed Al Ma’amari
Chairman of the of the De-escalation and Ceasefire Committee, Sheikh Mohammed Abdullah Nayef
Republican Guard, Brigadier Zakaria Al Muta’a","United Nations, GCC","Dharan al-Janoub ceasefire agreement (Taiz)",YEM,,678,,230,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Yemen,Government/territory,138,"Yemen peace process","Middle East and North Africa",1586,"Dhahran al-Janoub Agreements on the Cessation of Hostilities in Yemen for Shabwah, al-Dhali’, al-Baydah, al-Jawf, Ma’rib, Ta’iz and Terms and Conditions",2016-04-10,"Multiparty signed/agreed",11,39876,Intra,Cea,Rel,"General People's Congress, Ansar Allah, Arab Coalition and Internationally recognised Government of Yemen [Hadi]","United Nations
Certified by the Representative of the Kingdom of Saudi Arabia
","constitution of the Yemeni Republic and UN Security Council resolution 2216 (2015) and other relevant Security Council resolutions, as well as the outputs of the national dialogue conference and the initiative of the Gulf Cooperation Council",YEM,,678,,230,,,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,1,0,0,0,1
