,Agt,AgtId,GeFa,GeMe,GeSo,GeWom,Year
4,Acuerdo Final entre el Gobierno Nacional y el Ejército Popular de Liberación – EPL,149,1,0,0,0,1991
6,"Acuerdo Final entre el Gobierno Nacional y el Movimieto Armado Quintin Lame, Campamento de Pueblo Nuevo Caldono-Cauca",151,1,0,0,1,1991
7,"Acuerdo Final entre el Gobierno Nacional y el Partido Revolucionario de los Trabajadores, don Gabriel, Ovejas, Sucre",152,1,0,0,0,1991
18,Political Constitution of Colombia,163,1,0,0,1,1991
48,Acta de Compromiso entre el Gobierno Nacional y el EPL,1091,1,0,0,0,1991
3,"Acuerdo Político Final, Gobierno Nacional - Frente Francisco Garnica de la Coordinadora Guerrillera",148,1,0,0,0,1994
27,"Acuerdo Politico Final, Gobierno Nacional y Corriente de Renovacion Socialista",173,1,0,0,0,1994
5,"
Acuerdo Final: Gobierno Nacional, Gobernación de Antioquia y Alcaldía de Medellín con el Movimiento Independiente Revolucionario-Comandos Armados MIR-COAR",150,1,0,0,0,1998
82,"Declaración de Tregua Unilateral Durante Temporada de Fin den Ano, FARC-EP",1132,1,0,0,0,1999
24,Acuerdo entre el Gobierno Nacional y las FARC-EP (Acuerdo Humanitario),170,1,0,0,0,2001
37,Participacíon política: Apertura democrática para construir la paz,812,0,0,1,1,2013
38,Solución al Problema de las Drogas Ilícitas,815,1,0,0,1,2014
39,Hacia un Nuevo Campo Colombiano: Reforma Rural Integral,817,1,1,0,1,2014
101,"Joint Communiqué #62, Havana",1368,1,0,0,0,2015
106,"Joint Communiqué #52, Havana",1395,0,1,0,1,2015
108,"Joint Communiqué #55, Havana",1397,0,1,0,1,2015
111,"Agreement on the Victims of Conflict, 'Comprehensive System for Truth, Justice, Reparation and Non-repitition, including the Special Jurisdiction for Peace; and Commitment on Human Rights",1547,1,1,1,1,2015